"","Num","Club_segons base dades principal","Count","Club_segons base de dades 2","Valor plantilla","Value","Lliga"
"1",1,"Athletic Club",27,"Athletic Bilbao","€369,70m",NA,1
"2",2,"Atlético",27,"Atlético de Madrid","€623,80m",NA,1
"3",3,"Valencia",27,"Valencia CF","€166,60m",NA,1
"4",4,"Real Madrid",26,"Real Madrid","€1,40bn",NA,1
"5",5,"Real Sociedad",24,"Real Sociedad","€252,90m",NA,1
"6",6,"Sevilla FC",24,"Sevilla FC","€127,10m",NA,1
"7",7,"Celta de Vigo",22,"Celta de Vigo","€141,40m",NA,1
"8",8,"Espanyol",21,"RCD Espanyol Barcelona","€99,00m",NA,1
"9",9,"Villarreal",21,"Villarreal CF","€280,30m",NA,1
"10",10,"Getafe",19,"Getafe CF","€67,80m",NA,1
"11",11,"Real Betis",19,"Real Betis Balompié","€215,50m",NA,1
"12",12,"Levante",15,"Levante UD","€87,20m",NA,1
"13",13,"Rayo Vallecano",15,"Rayo Vallecano","€88,43m",NA,1
"14",14,"Alavés",14,"Deportivo Alavés","€70,40m",NA,1
"15",15,"Granada CF",12,"Granada CF","€20,55m",NA,1
"16",16,"SD Eibar",12,"SD Eibar","€18,50m",NA,1
"17",17,"CA Osasuna",11,"CA Osasuna","€89,20m",NA,1
"18",18,"CD Leganés",10,"CD Leganés","€25,40m",NA,1
"19",19,"Girona",11,"Girona FC","€155,20m",NA,1
"20",20,"RCD Mallorca",10,"RCD Mallorca","€85,20m",NA,1
"21",21,"UD Las Palmas",10,"UD Las Palmas","€39,30m",NA,1
"22",22,"Elche CF",9,"Elche CF","€79,90m",NA,1
"23",23,"PSG",9,"Paris Saint-Germain","€1,15bn",NA,1
"24",24,"Dep. La Coruña",8,"Deportivo de La Coruña","€45,00m",NA,1
"25",25,"Inter",8,"Inter Milan","€693,80m",NA,0
"26",26,"Málaga CF",8,"Málaga CF","€16,23m",NA,1
"27",27,"Bayern Munich",7,"Bayern Munich","€951,65m",NA,0
"28",28,"Real Valladolid",7,"Real Valladolid CF","€26,90m",NA,1
"29",29,"Cádiz CF",6,"Cádiz CF","€19,50m",NA,1
"30",30,"UD Almería",6,"UD Almería","€47,65m",NA,1
"31",31,"Benfica",5,"SL Benfica","€357,00m",NA,0
"32",32,"Dortmund",5,"Borussia Dortmund","€500,50m",NA,0
"33",33,"Juventus",5,"Juventus FC","€602,7m",NA,0
"34",34,"Napoli",5,"SSC Napoli","€503,30m",NA,0
"35",35,"Man City",4,"Manchester City","€1,21bn",NA,0
"36",36,"Man Utd",4,"Machester United","€730,20m",NA,0
"37",37,"Roma",4,"AS Roma","€401,00m",NA,0
"38",38,"SD Huesca",4,"SD Huesca","€12,15m",NA,1
"39",39,"Sporting Gijón",4,"Sporting Gijón","€26,50m",NA,1
"40",40,"Olympiacos",3,"Olympiacos Piraeus","€119,95m",NA,0
"41",41,"APOEL Nicosia",2,"APOEL Nicosia","€15,25m",NA,0
"42",42,"Ajax",2,"Ajax Amsterdam","€196,30m",NA,0
"43",43,"Arsenal",2,"Arsenal FC","€1,31bn",NA,0
"44",44,"BATE Borisov",2,"BATE Borisov","€3,25m",NA,0
"45",45,"Celtic",2,"Celtic FC","€132,65m",NA,0
"46",46,"Chelsea",2,"Chelsea FC","€1,14bn",NA,0
"47",47,"CyD Leonesa",2,"Cultural Leonesa","€15,95m",NA,1
"48",48,"Córdoba CF",2,"Córdoba CF","€14,50m",NA,1
"49",49,"Dynamo Kyiv",2,"Dynamo Kyiv","€79,05m",NA,0
"50",50,"Frankfurt",2,"Eintrach Frankfurt","€383,90m",NA,0
"51",51,"Galatasaray",2,"Galatasaray","€305,20m",NA,0
"52",52,"Hércules CF",2,"Hércules CF","€5,90m",NA,0
"53",53,"Leverkusen",2,"Bayer 04 Leverkusen","€426,75m",NA,0
"54",54,"Liverpool",2,"Liverpool FC","€1,15bn",NA,0
"55",55,"Lyon",2,"Olympique Lyon","€180,75m",NA,0
"56",56,"Mönchengladbach",2,"Borussia Mönchengladbach","€154,18m",NA,0
"57",57,"PSV",2,"PSV Eindhoven","€256,75m",NA,0
"58",58,"Porto",2,"FC Porto","€391,80m",NA,0
"59",59,"Real Murcia",2,"Real Murcia CF","€5,35m",NA,1
"60",60,"Royal Antwerp",2,"Royal Antwerp FC","€50,25m",NA,0
"61",61,"Shakhtar D.",2,"Shakhtar Donetsk","€152,4m",NA,0
"62",62,"Slavia Praha",2,"SK Slavia Praha","€106,58m",NA,0
"63",63,"Sporting",2,"Sporting CP","€456,5m",NA,0
"64",64,"Tottenham",2,"Tottenham Hotspur","€920,60m",NA,0
"65",65,"UD Barbastro",2,"UD Barbastro","€1,63m",NA,0
"66",66,"Viktoria Plzeň",2,"FC Viktoria Plzen","€52,23m",NA,0
"67",67,"Villanovense",2,"Villanovense","€1,63m",NA,0
"68",68,"AD Ceuta",1,"AD Ceuta FC","€10,85m",NA,1
"69",69,"Atalanta",1,"Atalanta PC","€459,10m",NA,0
"70",70,"CF Intercity",1,"CF Intercity","€2,93m",NA,0
"71",71,"Club Brugge",1,"Club Brugge KV","€194,40m",NA,0
"72",72,"Linares",1,"Linares Deportivo","€1,83m",NA,0
"73",73,"Monaco",1,"AS Monaco","€348,3m",NA,0
"74",74,"Newcastle",1,"Newcastle United","€751,83m",NA,0
"75",76,"Real Oviedo",1,"Real Oviedo","€60,80m",NA,0
"76",77,"Red Star",1,"Red Star Belgrade","€82,05m",NA,0
"77",78,"Stade Brestois",1,"Stade Brestois","€88,70m",NA,0
"78",79,"UD Ibiza",1,"UD Ibiza","€5,53m",NA,0
"79",80,"Unionistas CF",1,"Unionistas CF","€3,65m",NA,0
"80",81,"Young Boys Basel",1,"BSC Young Boys","€72,60m",NA,0
